season,name,nationality,type,team,price
2023,Ajinkya Rahane ,Indian ,Batsman , Chennai Super Kings,5000000
2023,Bhagath Varma ,Indian ,All Rounder , Chennai Super Kings,2000000
2023,Kyle Jamieson ,Overseas ,Bowler , Chennai Super Kings,10000000
2023,Ajay Mandal ,Indian ,All Rounder , Chennai Super Kings,2000000
2023,Nishant Sindhu ,Indian ,All Rounder , Chennai Super Kings,6000000
2023,Shaik Rasheed ,Indian ,Batsman , Chennai Super Kings,2000000
2023,Ben Stokes ,Overseas ,All Rounder , Chennai Super Kings,162500000
2023,Phil Salt ,Overseas ,Wicket Keeper , Delhi Capitals,20000000
2023,Ishant Sharma ,Indian ,Bowler , Delhi Capitals,5000000
2023,Rilee Rossouw ,Overseas ,Batsman , Delhi Capitals,46000000
2023,Manish Pandey ,Indian ,Batsman , Delhi Capitals,24000000
2023,Mukesh Kumar ,Indian ,Bowler , Delhi Capitals,55000000
2023,Shivam Mavi ,Indian ,Bowler , Gujarat Titans,60000000
2023,K.S. Bharat ,Indian ,Wicket Keeper , Gujarat Titans,12000000
2023,Urvil Patel ,Indian ,Wicket Keeper , Gujarat Titans,2000000
2023,Mohit Sharma ,Indian ,Bowler , Gujarat Titans,5000000
2023,Joshua Little ,Overseas ,Bowler , Gujarat Titans,44000000
2023,Kane Williamson ,Overseas ,Batsman , Gujarat Titans,20000000
2023,Odean Smith ,Overseas ,All Rounder , Gujarat Titans,5000000
2023,Kulwant Khejroliya ,Indian ,Bowler , Kolkata Knight Riders,2000000
2023,Shakib Al Hasan ,Overseas ,All Rounder , Kolkata Knight Riders,15000000
2023,Vaibhav Arora ,Indian ,Bowler , Kolkata Knight Riders,6000000
2023,N. Jagadeesan ,Indian ,Wicket Keeper , Kolkata Knight Riders,9000000
2023,David Wiese ,Overseas ,All Rounder , Kolkata Knight Riders,10000000
2023,Mandeep Singh ,Indian ,Batsman , Kolkata Knight Riders,5000000
2023,Litton Das ,Overseas ,Wicket Keeper , Kolkata Knight Riders,5000000
2023,Suyash Sharma ,Indian ,Bowler , Kolkata Knight Riders,2000000
2023,Amit Mishra ,Indian ,Bowler , Lucknow Super Giants,5000000
2023,Nicholas Pooran ,Overseas ,Wicket Keeper , Lucknow Super Giants,160000000
2023,Romario Shepherd ,Overseas ,All Rounder , Lucknow Super Giants,5000000
2023,Daniel Sams ,Overseas ,All Rounder , Lucknow Super Giants,7500000
2023,Swapnil Singh ,Indian ,All Rounder , Lucknow Super Giants,2000000
2023,Yudhvir Charak ,Indian ,All Rounder , Lucknow Super Giants,2000000
2023,Prerak Mankad ,Indian ,All Rounder , Lucknow Super Giants,2000000
2023,Yash Thakur ,Indian ,Bowler , Lucknow Super Giants,4500000
2023,Naveen Ul Haq ,Overseas ,Bowler , Lucknow Super Giants,5000000
2023,Jaydev Unadkat ,Indian ,Bowler , Lucknow Super Giants,5000000
2023,Jhye Richardson ,Overseas ,Bowler , Mumbai Indians,15000000
2023,Nehal Wadhera ,Indian ,All Rounder , Mumbai Indians,2000000
2023,Raghav Goyal ,Indian ,Bowler , Mumbai Indians,2000000
2023,Cameron Green ,Overseas ,All Rounder , Mumbai Indians,175000000
2023,Vishnu Vinod ,Indian ,Wicket Keeper , Mumbai Indians,2000000
2023,Duan Jansen ,Overseas ,All Rounder , Mumbai Indians,2000000
2023,Piyush Chawla ,Indian ,Bowler , Mumbai Indians,5000000
2023,Shams Mulani ,Indian ,All Rounder , Mumbai Indians,2000000
2023,Harpreet Bhatia ,Indian ,Batsman , Punjab Kings,4000000
2023,Shivam Singh ,Indian ,All Rounder , Punjab Kings,2000000
2023,Vidwath Kaverappa ,Indian ,Bowler , Punjab Kings,2000000
2023,Mohit Rathee ,Indian ,All Rounder , Punjab Kings,2000000
2023,Sam Curran ,Overseas ,All Rounder , Punjab Kings,185000000
2023,Sikandar Raza ,Overseas ,All Rounder , Punjab Kings,5000000
2023,Jason Holder ,Overseas ,All Rounder , Rajasthan Royals,57500000
2023,Adam Zampa ,Overseas ,Bowler , Rajasthan Royals,15000000
2023,Abdul P A ,Indian ,All Rounder , Rajasthan Royals,2000000
2023,Akash Vashisht ,Indian ,All Rounder , Rajasthan Royals,2000000
2023,Donovan Ferreira ,Overseas ,Wicket Keeper , Rajasthan Royals,5000000
2023,Kunal Rathore ,Indian ,Wicket Keeper , Rajasthan Royals,2000000
2023,Joe Root ,Overseas ,Batsman , Rajasthan Royals,10000000
2023,Murugan Ashwin ,Indian ,Bowler , Rajasthan Royals,2000000
2023,K.M. Asif ,Indian ,Bowler , Rajasthan Royals,3000000
2023,Sonu Yadav ,Indian ,All Rounder , Royal Challengers Bangalore,2000000
2023,Himanshu Sharma ,Indian ,Bowler , Royal Challengers Bangalore,2000000
2023,Avinash Singh ,Indian ,Bowler , Royal Challengers Bangalore,6000000
2023,Manoj Bhandage ,Indian ,All Rounder , Royal Challengers Bangalore,2000000
2023,Will Jacks ,Overseas ,Batsman , Royal Challengers Bangalore,32000000
2023,Reece Topley ,Overseas ,Bowler , Royal Challengers Bangalore,19000000
2023,Rajan Kumar ,Indian ,Bowler , Royal Challengers Bangalore,7000000
2023,Sanvir Singh ,Indian ,All Rounder , Sunrisers Hyderabad,2000000
2023,Harry Brook ,Overseas ,Batsman , Sunrisers Hyderabad,132500000
2023,Heinrich Klaasen ,Overseas ,Wicket Keeper , Sunrisers Hyderabad,52500000
2023,Akeal Hosein ,Overseas ,Bowler , Sunrisers Hyderabad,10000000
2023,Mayank Markande ,Indian ,Bowler , Sunrisers Hyderabad,5000000
2023,Adil Rashid ,Overseas ,Bowler , Sunrisers Hyderabad,20000000
2023,Anmolpreet Singh ,Indian ,Batsman , Sunrisers Hyderabad,2000000
2023,Vivrant Sharma ,Indian ,All Rounder , Sunrisers Hyderabad,26000000
2023,Samarth Vyas ,Indian ,All Rounder , Sunrisers Hyderabad,2000000
